지역명,규모구분,연도,월,분양가격(제곱미터)
광주,전용면적 60제곱미터이하,2016,3,2470
광주,전용면적 60제곱미터초과 85제곱미터이하,2016,3,"2,601"
광주,전용면적 85제곱미터초과 102제곱미터이하,2016,3,
광주,전용면적 102제곱미터초과,2016,3,
대전,모든면적,2016,3,2454
대전,전용면적 60제곱미터이하,2016,3,"2,585"
대전,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2428
대전,전용면적 85제곱미터초과 102제곱미터이하,2016,3,"2,461"
대전,전용면적 102제곱미터초과,2016,3,
울산,모든면적,2016,3,"3,066"
울산,전용면적 60제곱미터이하,2016,3,2584
울산,전용면적 60제곱미터초과 85제곱미터이하,2016,3,"3,075"
울산,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2663
울산,전용면적 102제곱미터초과,2016,3,"3,057"
세종,모든면적,2016,3,2670
세종,전용면적 60제곱미터이하,2016,3,"2,601"
세종,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2681
세종,전용면적 85제곱미터초과 102제곱미터이하,2016,3,"2,670"
세종,전용면적 102제곱미터초과,2016,3,2752
강원,모든면적,2016,3,"2,194"
강원,전용면적 60제곱미터이하,2016,3,2249
강원,전용면적 60제곱미터초과 85제곱미터이하,2016,3,"2,221"
강원,전용면적 85제곱미터초과 102제곱미터이하,2016,3,
강원,전용면적 102제곱미터초과,2016,3,"2,350"
충북,모든면적,2016,3,1980
충북,전용면적 60제곱미터이하,2016,3,"1,925"
충북,전용면적 60제곱미터초과 85제곱미터이하,2016,3,2021
충북,전용면적 85제곱미터초과 102제곱미터이하,2016,3,"2,276"
충북,전용면적 102제곱미터초과,2016,3,2261
충남,모든면적,2016,3,"2,115"
충남,전용면적 60제곱미터이하,2016,3,2226
충남,전용면적 60제곱미터초과 85제곱미터이하,2016,3,"2,114"
충남,전용면적 85제곱미터초과 102제곱미터이하,2016,3,2541
충남,전용면적 102제곱미터초과,2016,3,"2,444"
전북,모든면적,2016,3,1951
전북,전용면적 60제곱미터이하,2016,3,"1,910"
전북,전용면적 60제곱미터초과 85제곱미터이하,2016,3,1959
전북,전용면적 85제곱미터초과 102제곱미터이하,2016,3,"2,269"
전북,전용면적 102제곱미터초과,2016,3,2293
전남,모든면적,2016,3,"1,921"
전남,전용면적 60제곱미터이하,2016,3,2002
